# Chunk-averaged data for fix 1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
2000000 84 10944.000000000004
  47 0.554878 124.323 293.1
  48 0.567073 130.73 292.395
  49 0.579268 134.823 291.424
  50 0.591463 137.978 290.999
  51 0.603659 132.907 289.933
  52 0.615854 126.605 289.119
  53 0.628049 133.451 288.093
  54 0.640244 128.085 287.414
  55 0.652439 127.386 286.455
  56 0.664634 134.554 286.09
  57 0.676829 140.385 285.446
  58 0.689024 145.874 284.954
  59 0.70122 140.581 284.963
  60 0.713415 133.922 285.172
  61 0.72561 140.731 283.961
  62 0.737805 134.592 284.013
  63 0.75 134.086 283.229
  64 0.762195 130.441 283.173
  65 0.77439 127.025 282.275
  66 0.786585 130.725 281.495
  67 0.79878 142.379 280.955
  68 0.810976 146.998 279.943
  69 0.823171 137.008 279.498
  70 0.835366 125.741 278.52
  71 0.847561 134.07 278.44
  72 0.859756 140.635 278.385
  73 0.871951 140.783 278.326
  74 0.884146 121.48 278.217
  75 0.896341 128.446 278.247
  76 0.908537 141.989 74.4845
  77 0.920732 152 0
  78 0.932927 133 0
  79 0.945122 125 0
  80 0.957317 129 0
  81 0.969512 120 0
  82 0.981707 120 0
  83 0.993902 131 0
  84 1.0061 0 0
18000000 84 10944.000000000004
  1 -0.00609756 0 0
  2 0.00609756 143 0
  3 0.0182927 139 0
  4 0.0304878 145 0
  5 0.0426829 128 0
  6 0.054878 132 0
  7 0.0670732 123 0
  8 0.0792683 130.009 0.0233233
  9 0.0914634 130.385 108.405
  10 0.103659 135.86 318.257
  11 0.115854 129.308 317.976
  12 0.128049 145.39 317.994
  13 0.140244 145.577 317.845
  14 0.152439 128.469 318.135
  15 0.164634 134.556 316.857
  16 0.176829 124.474 316.165
  17 0.189024 143.303 315.262
  18 0.20122 133.7 315.366
  19 0.213415 124.355 315.264
  20 0.22561 118.86 313.695
  21 0.237805 136.619 312.625
  22 0.25 129.618 313.215
  23 0.262195 126.465 312.467
  24 0.27439 126.055 310.94
  25 0.286585 134.767 309.682
  26 0.29878 135.352 309.831
  27 0.310976 128.851 309.201
  28 0.323171 122.629 308.227
  29 0.335366 138.443 307.262
  30 0.347561 155.056 306.946
  31 0.359756 142.171 306.519
  32 0.371951 124.512 306.084
  33 0.384146 134.754 305.262
  34 0.396341 139.712 304.431
  35 0.408537 130.693 302.587
  36 0.420732 123.391 301.127
  37 0.432927 132.809 299.893
  38 0.445122 125.733 299.842
